bname,cname,no_votes
Beaumont A 2,McAuliffe,78
Beaumont A/WH D2 1,McAuliffe,73
Whitehall D2 1,McAuliffe,55
Postal 1,McAuliffe,19
Ballygall A 1,Montague,3
Ballygall A 2,Montague,3
Ballygall A 3,Montague,9
Ballygall B 1,Montague,8
Ballygall B 2,Montague,4
Finglas Nth 1,Montague,5
Charlestwn 1,Montague,6
Lanesbro 1,Montague,3
Lanesbro 2,Montague,5
Ballygall C 1,Montague,8
Ballygall C 2,Montague,9
Ballygall C 3,Montague,16
Ballygall C/D 1,Montague,13
Ballygall D 1,Montague,13
Ballygall D 2,Montague,19
Ballymun A 1,Montague,4
Ballymun A 2,Montague,8
Ballymun A 3,Montague,6
Ballymun A/B 1,Montague,7
Ballymun B 1,Montague,13
Ballymun B 2,Montague,14
Ballymun B/D 1,Montague,5
Ballymun D 1,Montague,14
Ballymun D 2,Montague,14
Ballymun C1 1,Montague,16
Ballymun C1 2,Montague,15
Ballymun C1 3,Montague,24
Ballymun C1 4,Montague,26
Ballymun E 1,Montague,23
Ballymun E 2,Montague,18
Ballymun C2 1,Montague,31
Finglas Nth B 1,Montague,2
Finglas Nth B 2,Montague,3
Finglas Nth B 3,Montague,0
Finglas Nth A 1,Montague,4
Finglas Nth A 2,Montague,1
Finglas Nth A 3,Montague,5
Finglas Nth C 1,Montague,5
Finglas Nth C 2,Montague,9
Finglas Nth C 3,Montague,4
Ballymun F/Fing Nth C/Bmun F 1,Montague,23
Ballymun F 1,Montague,7
Ballymun F 2,Montague,13
Finglas Sth A 1,Montague,2
Finglas Sth A 2,Montague,11
Finglas Sth A 3,Montague,4
Cappagh/Ballycoolen 1,Montague,5
Finglas Sth B 1,Montague,3
Finglas Sth B 2,Montague,3
Finglas Sth B 3,Montague,6
Finglas Sth C 1,Montague,0
Finglas Sth C 2,Montague,2
Finglas Sth C 3,Montague,3
Finglas Sth D 1,Montague,2
Finglas Sth D 2,Montague,4
Whitehall A1 1,Montague,28
Whitehall A1/D1 1,Montague,12
Whitehall D1 1,Montague,24
Whitehall A2 1,Montague,15
Whitehall A2 2,Montague,19
Whitehall B1 1,Montague,23
Whitehall B2 2,Montague,9
Whitehall B2 3,Montague,15
Whitehall B2 4,Montague,18
Whitehall B2/C 1,Montague,31
Whitehll C pt 1,Montague,33
Airport 3 1,Montague,17
Turnapin 1,Montague,8
NorthWood/Santry 1,Montague,12
Whitehall C pt 1,Montague,17
Beaumont A 1,Montague,24
Beaumont A 2,Montague,44
Beaumont A/WH D2 1,Montague,26
Whitehall D2 1,Montague,23
Postal 1,Montague,4
Ballygall A 1,Reddy,25
Ballygall A 2,Reddy,36
Ballygall A 3,Reddy,13
Ballygall B 1,Reddy,6
Ballygall B 2,Reddy,24
Finglas Nth 1,Reddy,20
Charlestwn 1,Reddy,13
Lanesbro 1,Reddy,17
Lanesbro 2,Reddy,12
Ballygall C 1,Reddy,24
Ballygall C 2,Reddy,27
Ballygall C 3,Reddy,17
Ballygall C/D 1,Reddy,26
Ballygall D 1,Reddy,17
Ballygall D 2,Reddy,23
Ballymun A 1,Reddy,15
Ballymun A 2,Reddy,23
Ballymun A 3,Reddy,19
Ballymun A/B 1,Reddy,15
Ballymun B 1,Reddy,18
Ballymun B 2,Reddy,18
Ballymun B/D 1,Reddy,15
Ballymun D 1,Reddy,23
Ballymun D 2,Reddy,17
Ballymun C1 1,Reddy,19
Ballymun C1 2,Reddy,20
Ballymun C1 3,Reddy,21
Ballymun C1 4,Reddy,23
Ballymun E 1,Reddy,19
Ballymun E 2,Reddy,10
Ballymun C2 1,Reddy,17
Finglas Nth B 1,Reddy,15
Finglas Nth B 2,Reddy,25
Finglas Nth B 3,Reddy,19
Finglas Nth A 1,Reddy,22
Finglas Nth A 2,Reddy,27
Finglas Nth A 3,Reddy,22
Finglas Nth C 1,Reddy,23
Finglas Nth C 2,Reddy,14
Finglas Nth C 3,Reddy,29
Ballymun F/Fing Nth C/Bmun F 1,Reddy,27
Ballymun F 1,Reddy,14
Ballymun F 2,Reddy,14
Finglas Sth A 1,Reddy,7
Finglas Sth A 2,Reddy,11
Finglas Sth A 3,Reddy,14
Cappagh/Ballycoolen 1,Reddy,11
Finglas Sth B 1,Reddy,16
Finglas Sth B 2,Reddy,23
Finglas Sth B 3,Reddy,19
Finglas Sth C 1,Reddy,13
Finglas Sth C 2,Reddy,10
Finglas Sth C 3,Reddy,2
Finglas Sth D 1,Reddy,14
Finglas Sth D 2,Reddy,13
Whitehall A1 1,Reddy,15
Whitehall A1/D1 1,Reddy,5
Whitehall D1 1,Reddy,7
Whitehall A2 1,Reddy,11
Whitehall A2 2,Reddy,8
Whitehall B1 1,Reddy,15
Whitehall B2 2,Reddy,4
Whitehall B2 3,Reddy,7
Whitehall B2 4,Reddy,11
Whitehall B2/C 1,Reddy,13
Whitehll C pt 1,Reddy,26
Airport 3 1,Reddy,13
Turnapin 1,Reddy,17
NorthWood/Santry 1,Reddy,10
Whitehall C pt 1,Reddy,12
Beaumont A 1,Reddy,11
Beaumont A 2,Reddy,11
Beaumont A/WH D2 1,Reddy,3
Whitehall D2 1,Reddy,9
Postal 1,Reddy,6
Ballygall A 1,Redmond,2
Ballygall A 2,Redmond,10
Ballygall A 3,Redmond,15
Ballygall B 1,Redmond,4
Ballygall B 2,Redmond,2
Finglas Nth 1,Redmond,4
Charlestwn 1,Redmond,15
Lanesbro 1,Redmond,2
Lanesbro 2,Redmond,6
Ballygall C 1,Redmond,4
Ballygall C 2,Redmond,6
Ballygall C 3,Redmond,1
Ballygall C/D 1,Redmond,18
Ballygall D 1,Redmond,10
Ballygall D 2,Redmond,6
Ballymun A 1,Redmond,6
Ballymun A 2,Redmond,8
Ballymun A 3,Redmond,6
Ballymun A/B 1,Redmond,7
Ballymun B 1,Redmond,3
Ballymun B 2,Redmond,2
Ballymun B/D 1,Redmond,5
Ballymun D 1,Redmond,2
Ballymun D 2,Redmond,13
Ballymun C1 1,Redmond,5
Ballymun C1 2,Redmond,4
Ballymun C1 3,Redmond,16
Ballymun C1 4,Redmond,8
Ballymun E 1,Redmond,5
Ballymun E 2,Redmond,3
